#lambda/nm	DC	C1
208.295	550	542.6
208.67	486.6	485
209.045	451.2	454
209.419	445	444.4
209.794	587.8	584.6
210.169	578.6	574.2
210.544	671.8	672.2
210.919	590	586.8
211.295	580	574.4
211.67	585.8	586.2
212.045	582.2	579.4
212.421	579.8	578.8
212.796	611.6	615.2
213.172	574.8	586
213.547	580.2	575.4
213.923	576	579.2
214.299	581.2	579.2
214.675	585.4	582.6
215.051	584.6	586.6
215.427	595.2	591.4
215.803	604.6	595.6
216.179	593	581.2
216.555	578.4	580.8
216.932	584.8	589.4
217.308	583.4	581
217.684	595.2	578.2
218.061	584.2	586.8
218.438	584.4	590
218.814	576.4	582.2
219.191	592.4	587.6
219.568	576.8	577.8
219.945	577	584.4
220.322	586.2	579.2
220.699	584.8	578.8
221.076	589.8	586.8
221.453	587.6	582.6
221.83	572.8	581.2
222.208	579.6	582
222.585	576.6	571.8
222.962	588.2	589.2
223.34	582.6	586.8
223.717	582	575
224.095	581	577.8
224.473	582.8	585
224.851	584	573.2
225.229	568.4	570.6
225.607	590.8	592.2
225.985	575.6	580.6
226.363	577.4	585.8
226.741	578.4	583
227.119	586.2	579.4
227.497	598	589
227.876	575.2	567.2
228.254	584.4	591.8
228.633	589.4	585.4
229.011	582.4	587.6
229.39	586.4	586.8
229.769	585.4	592.4
230.148	590.2	591.4
230.527	594.6	593.6
230.905	589.4	584
231.284	577.8	582.4
231.664	579.8	576.6
232.043	593.2	591.8
232.422	594.6	591.2
232.801	583.4	574.2
233.181	582.4	586.4
233.56	581.4	581
233.94	578.2	580.4
234.319	584.6	569.2
234.699	581.4	578
235.079	616.8	621.6
235.458	615.6	611.6
235.838	605.2	594.4
236.218	583	571
236.598	574.4	579
236.978	576.8	574.6
237.358	574.8	575.2
237.738	586.8	577.4
238.119	590.8	584.4
238.499	571.4	573.4
238.88	581.8	587.6
239.26	594.4	590
239.641	578.6	578.8
240.021	578.6	584.8
240.402	577.6	577.8
240.783	570.6	579.4
241.163	578	581.6
241.544	582.2	595.4
241.925	580.4	582.6
242.306	590	597
242.687	585.8	588.4
243.069	583.8	587
243.45	587.6	587.4
243.831	572.2	583.8
244.212	578.8	582
244.594	607	619
244.975	590	586.4
245.357	587.2	590.4
245.739	573.8	580.8
246.12	583.6	577.2
246.502	594.4	594.2
