#lambda/nm	DC	C1
208.295	548	548.2
208.67	482.6	489
209.045	454.6	453
209.419	449.2	443.6
209.794	591.4	591
210.169	590.2	583.2
210.544	704.2	701.2
210.919	621.4	623.8
211.295	621	614
211.67	623.6	622.8
212.045	624.8	609.8
212.421	608.4	609.8
212.796	647.4	646.8
213.172	612	619.6
213.547	613	613.8
213.923	622.2	617.4
214.299	609.8	613
214.675	624.8	616.6
215.051	629.6	633.4
215.427	636	636.8
215.803	639.2	638.2
216.179	630	629.4
216.555	626.4	622.6
216.932	646	645.2
217.308	647	638.2
217.684	630.2	637
218.061	642.2	638.4
218.438	648.4	652.4
218.814	643.8	645
219.191	667	650.4
219.568	644.8	641.8
219.945	653.2	651
220.322	656.2	647.6
220.699	664.4	654.6
221.076	661.4	658.2
221.453	663	662.2
221.83	651.4	645.8
222.208	662.4	654.8
222.585	660.6	649.6
222.962	666.8	659
223.34	664.2	659.4
223.717	652	659.6
224.095	664.6	655.4
224.473	673.4	656.2
224.851	655	664.2
225.229	670.2	658
225.607	684	676.4
225.985	660	662.6
226.363	677.2	670.2
226.741	683.6	674.6
227.119	674.2	673
227.497	688	690.6
227.876	666.6	666
228.254	681.2	688
228.633	691.8	696.8
229.011	687	688.4
229.39	697.6	692.4
229.769	697.4	691.8
230.148	695.2	696.8
230.527	712.8	714.6
230.905	704.6	702.4
231.284	703.2	695.2
231.664	713.2	692.8
232.043	709.6	716.6
232.422	717.2	716.2
232.801	702	715.6
233.181	719.2	722.4
233.56	721.2	719
233.94	728.8	723.4
234.319	720.2	721.6
234.699	731.6	736
235.079	763.6	774
235.458	763.2	774
235.838	760.6	754.8
236.218	749.4	746.4
236.598	742.4	740
236.978	745.8	747
237.358	750.8	753.4
237.738	755.6	749
238.119	768.4	770.6
238.499	758	754.4
238.88	763.8	773.2
239.26	782.8	784
239.641	772.6	766.6
240.021	784.6	779
240.402	786	777.6
240.783	786	773
241.163	782.4	790.6
241.544	799	797.8
241.925	796.4	789.8
242.306	801.8	808.2
242.687	796	791
243.069	793.8	789.4
243.45	803.4	797.8
243.831	773.6	784.6
244.212	781.2	774
244.594	809	802.6
244.975	781.6	776.2
245.357	771	771
245.739	750.2	760
246.12	763.6	757.4
246.502	758.6	759
246.884	740.8	737.2
247.266	735.2	729.8
247.648	735.8	729.6
248.03	741.8	753.8
248.412	731	726
248.794	729.8	722.6
249.176	704	701.6
249.559	712.2	714.6
249.941	699	690.2
250.323	692	680.6
250.706	677.4	682.8
251.089	679.8	681.2
251.471	679.2	685.8
251.854	674.4	669.2
252.237	670.4	674.8
252.62	683	662
253.002	659.4	660.8
253.385	662.2	653.4
253.769	662.8	655.6
254.152	644.6	648.4
254.535	656.2	652
254.918	637	629.2
255.301	633.8	642
255.685	636.6	632
256.068	625.6	625
256.452	647.6	653.2
256.835	638	631.4
257.219	628	629.4
257.603	634.2	646.2
257.986	614.4	622.8
258.37	628.4	623
258.754	615.6	612.8
259.138	624.8	625.8
